"","Factor1","Factor2","Factor3"
"AMP",0.195,0.006,-0.008
"ANDC",0.018,-0.015,-0.04
"AWL",-0.391,0.711,-0.036
"BEMA",0.607,-0.123,-0.009
"BYPA",-0.163,0.163,0.056
"CAUS",0.663,0.048,0.059
"CONC",-0.045,-0.078,0.029
"COND",0.308,-0.08,-0.216
"CONJ",-0.025,0.274,-0.104
"CONT",0.761,-0.173,-0.044
"DEMO",0.6,0.099,-0.082
"DEMP",0.752,0.085,-0.06
"DPAR",0.264,-0.116,-0.011
"DWNT",-0.107,-0.05,-0.002
"EMPH",0.638,-0.069,-0.041
"EX",0.275,0.025,-0.029
"FPP1",0.52,-0.366,0.093
"GER",-0.158,0.213,-0.037
"HDG",0.558,-0.039,0.008
"INPR",0.092,-0.066,0.033
"JJ",-0.277,0.381,-0.158
"NEMD",0.075,0.113,-0.096
"NN",-0.831,0.092,-0.033
"NOMZ",0.012,0.783,-0.114
"OSUB",-0.094,-0.018,0.021
"PASS",-0.154,0.224,0.129
"PASTP",-0.223,0.039,-0.018
"PEAS",-0.272,0.072,0.161
"PHC",-0.22,0.316,-0.105
"PIN",-0.637,0.155,-0.034
"PIRE",-0.034,0.128,-0.004
"PIT",0.533,-0.14,0.006
"PLACE",-0.243,-0.152,0.025
"POMD",0.227,0.012,-0.231
"PRED",0.413,0.067,-0.001
"PRESP",-0.334,0.077,0.018
"PRIV",0.749,0,0.088
"PRMD",-0.06,-0.096,-0.214
"PROD",0.42,-0.146,-0.011
"PUBV",0.01,0.19,0.305
"RB",0.554,-0.171,-0.03
"SERE",-0.088,0.14,-0.016
"SMP",-0.078,-0.029,0.032
"SPAU",0.096,0.08,-0.047
"SPIN",0.199,0.087,-0.043
"SPP2",0.588,-0.076,-0.224
"STPR",0.04,-0.202,0.032
"SUAV",-0.011,0.191,0.034
"SYNE",-0.009,-0.045,0.027
"THAC",0.161,0.078,0.019
"THATD",0.446,-0.052,0.255
"THVC",0.256,0.288,0.123
"TIME",-0.052,-0.213,0.08
"TO",0.181,0.037,-0.135
"TOBJ",0.286,0.147,0.075
"TPP3",0.001,-0.232,0.414
"TSUB",0.114,0.266,-0.047
"TTR",0.261,0.126,0.083
"VBD",-0.177,-0.364,0.987
"VPRT",0.857,0.094,-0.401
"WHCL",0.392,-0.025,0.036
"WHOBJ",0.019,-0.004,0.014
"WHQU",0.27,-0.022,-0.047
"WHSUB",-0.041,0.104,0.07
"WZPAST",-0.198,0.245,0.008
"WZPRES",-0.187,0.054,-0.02
"XX0",0.573,-0.112,0.037
