"register","Factor1","Factor2","Factor3"
"formalSpeech",0.34532953560421,1.41856774809458,-0.491267178083809
"informational_blog",-0.103346415750662,0.883670498606177,-0.685957140534133
"interactive_discn",-0.296010417424957,-0.589617730920079,-0.37154842114937
"interview_online",0.206874140005934,-0.137520791308105,0.116904942486911
"narratives",-0.753201482312307,-0.366101658814413,0.572776511252529
"news_blog",-0.444417329631795,0.501388823967579,0.115581080490379
"personal_blog",-0.470036181738685,-0.704803525732318,0.149196735747203
"podcasts",1.03164686215414,-0.0618455504670481,0.00230209003180053
"spoken",0.190771493741562,0.273771880531169,0.0199815786446029
"sports_blog",-0.975493718098623,-0.705546093942988,0.172641207784621
"tvScripts",-0.495427348700712,-1.19747205487462,-0.558250401411318
