"register","Factor1_mean","Factor2_mean","Factor3_mean","Factor1_sd","Factor2_sd","Factor3_sd"
"formalSpeech",0.34532953560421,1.41856774809458,-0.491267178083809,0.832435791397018,1.37021377502716,0.545458506460791
"informational_blog",-0.103346415750662,0.883670498606177,-0.685957140534133,0.888460477251003,1.25733547616858,0.736117705578521
"interactive_discn",-0.296010417424957,-0.589617730920079,-0.37154842114937,0.922129752919385,1.1063490858959,1.03652487935667
"interview_online",0.206874140005934,-0.137520791308105,0.116904942486911,0.699084549314969,0.913986582590648,0.843747900283994
"narratives",-0.753201482312307,-0.366101658814413,0.572776511252529,0.754118692872816,1.10215975200408,1.27263954277798
"news_blog",-0.444417329631795,0.501388823967579,0.115581080490379,0.849533821766124,1.16793483969352,1.05508829044134
"personal_blog",-0.470036181738685,-0.704803525732318,0.149196735747203,0.827612008776864,1.00751054348727,1.12975966643553
"podcasts",1.03164686215414,-0.0618455504670481,0.00230209003180053,0.903908826055602,0.780438815735664,0.833731240868284
"spoken",0.190771493741562,0.273771880531169,0.0199815786446029,0.824353545063356,1.15687591605386,1.31407157492131
"sports_blog",-0.975493718098623,-0.705546093942988,0.172641207784621,0.852261286649551,0.805199243922624,0.998154515983141
"tvScripts",-0.495427348700712,-1.19747205487462,-0.558250401411318,0.475061516756132,0.495046772424124,0.357115589299662
