"register","meansDim2_statSummary"
"Broadcast discussion",-0.0701312613969724
"Broadcast documentary",0.671208330678983
"Broadcast news",0.23556753464945
"Conversation BNC",-1.40619114566816
"Conversation SBCSAE",-1.36497299924721
"Formal speech",1.39392408777811
"Informational blog",0.860554351464275
"Interactive discussion",-0.563705285606783
"Interview",-1.30813639468901
"Narratives",-0.334256337659004
"News blog",0.5035098141807
"Online interview",-0.117501492199194
"Oral narrative",-2.07846616461027
"Personal blog",-0.667465815219549
"Podcasts",-0.037066600057506
"Scripted speech",0.547258215736924
"Speech",-0.255668005753769
"Spoken",0.280218506041727
"Sports blog",-0.679312626149178
"Sports live",-0.947894211811257
"TV scripts",-1.20402463315718
