"","Factor1","Factor2","Factor3"
"AMP",-0.035,-0.024,0.196
"ANDC",0.11,0.055,-0.014
"AWL",-0.935,-0.1,0.37
"BEMA",0.54,-0.045,0.099
"BYPA",-0.424,0.088,0.144
"CAUS",0.544,0.002,0.227
"CONC",0.049,0.197,0.005
"COND",0.114,-0.331,0.093
"CONJ",-0.359,-0.059,0.272
"CONT",0.846,-0.141,-0.182
"DEMO",0.24,-0.106,0.447
"DEMP",0.579,-0.129,0.134
"DPAR",0.159,-0.018,-0.278
"DWNT",-0.101,0.186,0.042
"EMPH",0.547,-0.033,0.222
"EX",0.17,0.034,0.082
"FPP1",0.699,0.12,-0.02
"GER",-0.342,-0.044,0.078
"HDG",0.399,0.021,0.146
"INPR",0.102,0.085,-0.103
"JJ",-0.705,-0.158,0.15
"NEMD",-0.007,-0.072,-0.004
"NN",-0.826,-0.016,-0.207
"NOMZ",-0.655,-0.219,0.472
"OSUB",-0.051,0.065,0.166
"PASS",-0.362,0.23,0.253
"PASTP",-0.028,-0.041,-0.238
"PEAS",-0.228,0.406,0.192
"PHC",-0.612,-0.075,0.155
"PIN",-0.779,0.003,0.299
"PIRE",-0.199,-0.002,0.204
"PIT",0.592,-0.032,-0.044
"PLACE",-0.206,0.168,-0.071
"POMD",-0.08,-0.263,0.095
"PRED",0.309,-0.006,0.314
"PRESP",-0.144,-0.044,-0.095
"PRIV",0.625,0.129,0.178
"PRMD",-0.036,-0.028,-0.076
"PROD",0.462,-0.071,0.007
"PUBV",0.202,0.195,0.003
"RB",0.387,-0.016,0.186
"SERE",-0.182,-0.08,0.185
"SMP",-0.154,0.232,0.11
"SPAU",-0.007,0.02,0.325
"SPIN",0.04,-0.102,0.273
"SPP2",0.176,-0.476,-0.035
"STPR",0.243,0.034,-0.324
"SUAV",-0.281,0.027,0.176
"SYNE",-0.066,0.08,-0.12
"THAC",0.06,0.034,0.247
"THATD",0.595,0.223,-0.073
"THVC",0.058,0.13,0.487
"TIME",-0.188,-0.038,-0.05
"TO",-0.081,-0.239,0.301
"TOBJ",0.068,0.064,0.457
"TPP3",0.094,0.567,-0.133
"TSUB",-0.249,-0.104,0.322
"TTR",0.004,0.276,0.126
"VBD",0.185,0.956,-0.092
"VPRT",0.615,-0.53,0.052
"WHCL",0.412,0.071,0.014
"WHOBJ",-0.094,0.062,0.069
"WHQU",0.144,-0.089,-0.162
"WHSUB",-0.299,0.104,0.244
"WZPAST",-0.464,0.074,0.054
"WZPRES",-0.467,-0.017,-0.029
"XX0",0.661,0.074,-0.131
